company,date,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14,principal_component_15,principal_component_16,principal_component_17,principal_component_18,principal_component_19,principal_component_20,principal_component_21,principal_component_22,principal_component_23,principal_component_24,principal_component_25,principal_component_26,principal_component_27,principal_component_28,principal_component_29,principal_component_30,principal_component_31,principal_component_32,principal_component_33,principal_component_34,principal_component_35,principal_component_36,principal_component_37,principal_component_38,principal_component_39
INTC,2019-10-24,-0.7474820248049592,0.9282847394869748,0.0448636232881716,-1.3473688387275167,1.25217007334953,0.30021650812089,-0.9541443347834803,0.9550463698272208,3.4595117318936843,-1.2930266197974551,-0.8674383074195872,1.898274298855891,-0.11761128283503455,1.1939469891860368,0.7601134848014409,-0.2610332542193928,-0.3390689023963885,-0.5018929874824887,0.30839192714585584,-0.2050719070434388,0.5884342353817503,0.42217057985566553,-0.33832292870345493,0.9732872795550804,-0.9822458041255989,-0.5934441796781469,-0.8313025929096921,-0.18198283168878113,0.8431603959884753,0.11041432713284631,0.41745565794331485,-0.439637331000422,-0.6103522994145668,0.5760283921444074,-0.3864290941613499,0.6848366639473004,0.44489574799079457,-0.5634135970947322,-0.41374475199569033
MSFT,2019-10-23,4.815821213423063,-5.916684600941026,0.9701910566119858,-1.735738972359352,3.683163120705864,-3.7525057319457527,-0.9742853231831083,3.472145006934415,2.7847220121289884,-0.17071565463565758,-0.8270188335387894,-0.8257446780370349,2.878706961416409,0.9578795517331494,1.8720476940314554,0.5580569823777384,0.42692008643955953,0.06589105081522022,-0.4736033497496595,-0.7886843439050264,0.4933637484516978,-0.780576175624408,0.49378510146066024,-0.7441538743733267,0.9270446338358657,0.5892332126099065,0.64044874857754,-0.5696212217759189,0.7343839262403943,-0.48165492791180803,0.28069478845058116,0.4664235887300429,1.0765538818377227,-1.05739339401827,-0.8145983529434638,-1.236344360344256,0.10519386647798047,-0.04412982233884512,0.25085336662274516
MSFT,2018-04-26,1.963042733177889,-1.6229480610978377,0.48516513645709297,-1.8682891088102234,5.413842438301223,-2.591802957749343,0.23315482038307087,2.7087412236380466,0.8601629344909695,2.249055605599525,0.32606775398423193,-0.4730720119470044,1.7374135077730866,0.4625138558674114,1.3437655705884592,0.928691017072245,-0.6463149539117328,-0.07525895390123823,2.5578257228131465,-1.4355179941859106,-1.4200478209051761,0.8176273588973468,-2.8592497661230003,0.18869268651069845,-0.159139361875862,0.010528451561216722,-0.18218637733441678,-0.09531677760180438,-1.1961314793413902,-0.5162226816571573,0.9761197764270908,-0.1277497787843228,-0.04550222122800739,-0.49347061367250256,0.025495749062492773,0.2670680885880741,0.24291593882393686,0.06968534157435802,0.6526434734494755
AMD,2017-01-31,-6.247086186501467,-3.841292987214257,-1.3988829919768255,1.3733181436588253,1.6261153057383793,1.9497502797407975,-1.3182714163390565,-0.311333037737028,-1.9637556323631464,0.9708385097522276,-1.1463958773554819,-1.2061820418722604,0.7702630374086772,-2.000520288997781,1.0068569448481233,0.27763022789427166,1.4076495056257972,-1.416886535802924,-1.7242109606172866,-0.03798583635727469,0.7168431686325847,-1.7122182272420647,1.688485567758457,1.7495146416637661,-0.7261333612097834,-0.23920955178242406,-0.027026554934650168,1.2866167165997424,-0.08441577739146741,2.0632958185104666,-0.0991754296920455,0.01384879503409904,-1.1196517511247213,-1.2158354237026394,-0.9297433940110855,0.5099778188651962,-0.7131143190938841,0.4105754528423341,0.055932669700953626
AAPL,2018-07-31,-1.6106822485716152,-2.3742625364279175,3.1198653913240855,-2.4788010618280985,-1.1081950544119896,0.25446378309324713,-2.1266742705962076,-1.0260646761478784,-0.12399789812827912,-2.0529845001418985,1.2654146818550578,-0.9176759961947069,0.7156129964507087,-0.5287243461669999,-0.024587365224076008,1.2651171394903273,-1.589597143476118,1.5939477378164237,1.6030727549939758,0.8364917371088009,-1.797478399249434,-1.4960762880081577,-0.34601482593811933,0.943440620807082,-1.424277901777799,-0.6182729886309443,0.19320066479288675,1.0986280784307398,-1.4776316262347196,2.132817472779474,-0.31342396244715887,-0.7590019033917997,-0.4136235358533592,-1.1414429776710648,-1.1611961659327967,-0.178770715433473,-1.0311856494730542,0.38435361770012905,0.5075425708913259
AAPL,2019-10-30,0.8644068429498667,1.8739136331987243,3.1737145475742783,0.7383140493834467,0.7010183850956592,-0.05335575515240203,-1.2640546027646933,-0.7915803925958161,-0.1365968560965369,-3.0359851619173805,0.31282823393614634,-2.1997394695704457,0.19462074086880266,0.05633533511644493,0.21814896956167262,1.2792718740745594,0.29066393327471707,0.3604506893328223,0.23962872583592684,1.1875832084413718,0.809218471985828,0.8185226267769665,-0.4439923137445558,-0.24339265638488525,0.6208499144691875,0.017641976090656212,0.9011703494498644,0.2830093435869405,-0.5265231538831351,0.8339942574990545,0.06424111760427348,-1.0918429569954655,0.426339673465459,0.4150458739142276,-0.03964345828041125,0.018230854337028497,1.6264197659854396,0.07472584727841286,0.5612802814800192
AMZN,2019-04-25,4.555514320206879,3.2789290682031096,2.38152913070784,-0.5333861786731854,-1.5320282503676437,-1.3335743171407584,-0.4046688752409704,2.2190247591974175,0.48308469367382406,-1.2924962372346858,-0.8266763477457735,0.305410442182591,0.054850451067214784,-1.9137346164674993,0.2993794977398479,1.29088376046508,1.2718595708407774,-0.5814030299911122,0.7996278448347925,-0.030488364291725144,0.7011656884099665,-0.21978697604608877,0.746299212148801,0.5988112202281186,0.16960716108509008,0.9403272443645292,0.34073972572380784,0.5241273413281788,-0.022202879657237752,0.25257595612602624,-0.2150557258178909,0.8198623783938307,0.28706782598611075,0.8802785884286835,0.17597916108285938,0.12448105889514936,0.9427014875974612,-0.45075472853263504,0.43578095329932315
AMZN,2020-01-30,2.61909515537947,-3.1560431796727113,1.822625800601702,-2.407273235505338,-4.262937469511672,-1.6004573266348283,-1.6283391466346369,2.6042979574567404,-0.22278445002935632,-1.2544355751855905,-0.4783849816950081,0.14397018931930355,-0.6981153670946073,-1.446639397782682,0.345126600788282,0.26539681448356495,1.1275041628963687,-0.7879124875898965,0.19429458616907205,-0.8595756124439307,-1.0154979537141995,-0.5146556602312715,1.8185325693279848,-0.7139910095861649,0.24124381607763545,-0.8935202552380394,-0.8604264772571689,-0.7290427501516872,-1.295589140188353,-0.07241742856550204,0.3855701404696657,0.8093370462741248,0.7640242811134136,0.1314881357782839,0.4060015199459787,-0.2086630640058807,-0.13182133274282098,0.5975181577478864,-0.46017267260829947
MU,2019-09-26,-1.3136728054442637,-4.3664638211799405,2.1462094183046885,2.0927455028892803,3.008880061831942,3.187643467960278,-0.8624156687804113,0.6582404097250346,5.133958762489493,-0.8172807967040205,3.0476320565253556,-0.625302505668967,-0.748224388529088,0.46040993926219476,0.07938606220616237,0.35878855216909716,-1.082776941678163,0.6362735235660553,-1.9125261806657659,-0.6246410319534575,-0.16923125380806953,0.0057648408627756186,0.616231536510406,0.37968076987338273,-0.2858945085683255,0.8876427342011508,-0.15615959343307267,0.06920200857704868,-1.134903286582707,-0.19333884490064368,-0.278834544570599,0.88812714873744,0.27384100479881446,-0.71896631563345,0.04647664201508738,-0.551020199582969,1.52303979828116,-0.8385809769465211,0.7053368380294059
AAPL,2018-02-01,-3.7235814019764555,-7.293891541271483,1.3695908950780054,-2.9484044057699585,-3.5466495110533347,0.3956081993554719,-0.3291903717358373,-1.180588272642165,-0.9961298025311714,-2.2736949044167596,-1.2706904711923201,-2.108936781265229,-2.522105948450595,-0.6175743498872004,1.9081529718531693,1.6767251479377792,-3.8391495780014826,0.3421641955582478,1.087646025925633,-1.9417053289166606,-2.4657008425866436,0.8580518966345185,-1.1004901887984035,-0.4474164790977238,0.4581889190097746,1.6414695422505698,0.59221354000297,0.09387566382238728,1.3350382887025862,-0.14449201365007847,0.1796610717215556,0.4236889291802548,-0.4418250181581856,1.311732571150081,-0.002275929590268014,0.5880616949949876,-0.3271014561745931,-0.28781387581893486,-0.3970810879984334
ASML,2017-10-18,11.268702683786746,-3.1674792873765467,2.7110192813122183,-0.7998267024303009,-2.1577577001726156,1.1683588174353219,2.7773948902399788,-2.3744559464826227,0.832110830239115,-1.4215043791599977,0.31465482886266455,-0.44915236618179893,-0.4544287735762825,-0.16454439762180736,0.4440623245692447,-0.10638432339365636,-0.7929051807128134,-0.6457166800755787,-2.1324350529376,2.5181943079033235,-0.005723141501938433,2.1614107633251747,-0.9416115961737799,0.2670749243574151,0.5363079047000311,-2.768079564013073,0.09538055355523206,0.23253518489681413,-1.6864190441692517,-0.8084021858592922,-1.2866209475930224,1.8052043577383778,0.5618287038676426,-1.4296311163648647,0.13543393515114685,0.6672873503747153,0.09781456383369914,-0.04079652183076629,-0.6789552201293944
GOOGL,2019-10-28,2.092424674683385,5.591785004881325,-0.1691306315195033,-3.3219898163753525,0.8370988569661952,-4.261076258659904,1.2339774795054126,-1.337018857487261,-1.8317235300817891,-0.609351215707736,2.735090842468461,-0.04683286640186192,-0.9292602159974949,1.3070582613991208,-0.6174500528988002,-2.001041724995133,0.5515357530649658,1.8284364553432895,0.7259631570206948,0.931070331538633,1.2120909135219553,-1.5857017077576208,1.7478479818367507,-0.1167790397722466,-0.5892324746994243,0.4515954960042206,0.4030043651687375,-0.16573525192694466,0.9565972213850789,0.1656978282068259,-0.07526285877651089,0.7307823526222792,-0.42128310942472735,-0.2783406609281976,-1.5409643759364007,-0.0042654305722085815,-0.36018184716255924,-0.38954015526434854,-0.10421585424603454
NVDA,2019-02-14,-5.257039435821898,3.337475859602734,-2.2250087494396746,3.792280262600031,-2.989957878861852,-2.3300322091239,-2.654578841547899,-0.9131579988568347,2.6077106469408937,1.5560088433995871,-1.2533959741303167,-1.5506361999355316,-2.2920568062787283,-1.454803196509301,1.5742416877055065,-2.1552851331616156,1.5577515447781816,-0.24863133092272585,0.34142169007081935,-0.6331554344897475,-1.734032949221933,0.46574219625391977,0.34598993019378904,0.969851218230192,2.073162377225069,-0.6853942864706276,0.9043196213715299,-0.31306895437523236,0.45956592310771605,0.5630927428642143,1.376005172086538,1.2229498095158382,1.274635944412446,-0.8545102759059203,-0.4618365336135348,0.2327263078103782,-0.4138621113040896,-0.2900407458563445,0.3166891002489135
AMD,2019-01-29,-4.188626398801783,-4.279126160187746,0.5707692460457834,4.739058752476148,3.686596443881996,1.41562725331519,1.8415694054603329,-2.6521330309093374,0.15078568701557962,2.37239518983982,2.093365573368767,1.4555885219630114,0.1286201545716628,-2.326429668879785,2.6455238107571573,1.3340419005720636,-0.9702754837918577,0.8871562320703893,1.2964718713770713,2.1824599412881875,-1.247423072915734,0.4811159081063701,0.2720919564062091,0.13053378077228392,0.41928354945666335,-2.0370545233321766,-0.21398583411924738,0.32763092995603166,0.727921854914866,-1.7922801533032,-0.09614659386749945,0.1401242888547138,0.36254951190358475,0.13031558632208592,0.5874566981253398,0.6740245676960741,0.6305611993572998,0.5071565462242201,-0.12131039140728056
